-92,19
-91,23
-90,22
-89,20
-88,18
-87,20
-86,24
-85,18
-84,20
-83,20
-82,22
-81,21
-80,17
-79,15
-78,10
-77,16
-76,17
-75,16
-74,14
-73,13
-72,14
-71,9
-70,11
-69,10
-68,9
-67,15
-66,18
-65,11
-64,14
-63,13
-62,10
-61,11
-60,9
-59,17
-58,12
-57,10
-56,12
-55,14
-54,11
-53,13
-52,6
-51,11
-50,12
-49,14
-48,12
-47,16
-46,15
-45,27
-44,26
-43,26
-42,16
-41,21
-40,28
-39,35
-38,39
-37,48
-36,42
-35,45
-34,46
-33,40
-32,63
-31,45
-30,58
-29,45
-28,51
-27,47
-26,69
-25,59
-24,48
-23,38
-22,44
-21,38
-20,23
-19,32
-18,32
-17,32
-16,25
-15,22
-14,30
-13,31
-12,38
-11,28
-10,29
-9,37
-8,32
-7,36
-6,34
-5,34
-4,42
-3,46
-2,58
-1,50
0,44
1,64
2,54
3,59
4,51
5,50
6,63
7,63
8,62
9,70
10,54
11,54
12,69
13,57
14,48
15,55
16,53
17,51
18,64
19,49
20,46
21,40
22,47
23,40
24,42
25,49
26,27
27,41
28,34
29,33
30,26
31,40
32,23
33,24
34,27
35,15
36,18
37,17
38,14
39,11
40,8
41,9
42,9
43,6
44,9
45,7
46,4
47,4
48,2
50,5
51,3
52,3
53,2
54,1
56,3
57,1
58,1
66,2
70,1
