-46,3
-45,9
-44,10
-43,10
-42,16
-41,21
-40,13
-39,30
-38,18
-37,25
-36,28
-35,23
-34,19
-33,34
-32,21
-31,21
-30,46
-29,44
-28,47
-27,62
-26,55
-25,64
-24,64
-23,78
-22,99
-21,94
-20,103
-19,111
-18,138
-17,170
-16,197
-15,211
-14,281
-13,330
-12,363
-11,455
-10,546
-9,689
-8,840
-7,1043
-6,1400
-5,2183
-4,3708
-3,8517
-2,20832
-1,34348
0,47841
1,15866
2,10218
3,7069
4,3708
5,2223
6,1373
7,1018
8,796
9,652
10,500
11,445
12,398
13,276
14,247
15,235
16,175
17,188
18,144
19,119
20,96
21,89
22,91
23,80
24,58
25,65
26,44
27,53
28,50
29,35
30,39
31,36
32,22
33,23
34,29
35,17
36,22
37,25
38,18
39,20
40,25
41,11
42,14
43,15
44,12
45,8
46,7
47,7
48,1
