1,1972-01-01,-11
2,1972-01-02,-19
3,1972-01-03,-18
4,1972-01-04,-19
5,1972-01-05,-31
6,1972-01-06,-26
7,1972-01-07,1
8,1972-01-08,2
9,1972-01-09,0
10,1972-01-10,-5
11,1972-01-11,-10
12,1972-01-12,3
13,1972-01-13,5
14,1972-01-14,6
15,1972-01-15,-9
16,1972-01-16,-8
17,1972-01-17,-11
18,1972-01-18,-18
19,1972-01-19,-31
20,1972-01-20,-22
21,1972-01-21,-20
22,1972-01-22,-25
23,1972-01-23,-36
24,1972-01-24,-25
25,1972-01-25,-17
26,1972-01-26,-16
27,1972-01-27,-17
28,1972-01-28,-4
29,1972-01-29,-4
30,1972-01-30,-10
31,1972-01-31,-32
32,1972-02-01,-25
33,1972-02-02,-10
34,1972-02-03,-13
35,1972-02-04,-17
36,1972-02-05,-22
37,1972-02-06,-23
38,1972-02-07,-21
39,1972-02-08,-14
40,1972-02-09,-4
41,1972-02-10,-20
42,1972-02-11,-18
43,1972-02-12,-17
44,1972-02-13,-18
45,1972-02-14,-7
46,1972-02-15,-9
47,1972-02-16,-7
48,1972-02-17,-5
49,1972-02-18,-18
50,1972-02-19,-6
51,1972-02-20,-8
52,1972-02-21,-13
53,1972-02-22,-20
54,1972-02-23,-25
55,1972-02-24,-5
56,1972-02-25,9
57,1972-02-26,1
58,1972-02-27,5
59,1972-02-28,15
60,1972-02-29,8
61,1972-03-01,1
62,1972-03-02,-7
63,1972-03-03,3
64,1972-03-04,1
65,1972-03-05,-10
66,1972-03-06,-8
67,1972-03-07,-27
68,1972-03-08,-25
69,1972-03-09,-10
70,1972-03-10,-8
71,1972-03-11,3
72,1972-03-12,1
73,1972-03-13,-3
74,1972-03-14,-12
75,1972-03-15,9
76,1972-03-16,-3
77,1972-03-17,-12
78,1972-03-18,4
79,1972-03-19,-17
80,1972-03-20,-19
81,1972-03-21,-10
82,1972-03-22,-9
83,1972-03-23,-8
84,1972-03-24,-8
85,1972-03-25,-12
86,1972-03-26,-2
87,1972-03-27,-8
88,1972-03-28,-2
89,1972-03-29,-4
90,1972-03-30,0
91,1972-03-31,-15
92,1972-04-01,-4
93,1972-04-02,1
94,1972-04-03,-7
95,1972-04-04,-17
96,1972-04-05,-9
97,1972-04-06,-9
98,1972-04-07,-14
99,1972-04-08,-17
100,1972-04-09,-35
101,1972-04-10,-22
102,1972-04-11,-38
103,1972-04-12,-35
104,1972-04-13,-8
105,1972-04-14,-3
106,1972-04-15,-21
107,1972-04-16,-17
108,1972-04-17,-1
109,1972-04-18,-21
110,1972-04-19,-28
111,1972-04-20,-11
112,1972-04-21,-14
113,1972-04-22,-5
114,1972-04-23,1
115,1972-04-24,-11
116,1972-04-25,-11
117,1972-04-26,-5
118,1972-04-27,-11
119,1972-04-28,-15
120,1972-04-29,-21
121,1972-04-30,-16
122,1972-05-01,-14
123,1972-05-02,-27
124,1972-05-03,-18
125,1972-05-04,-18
126,1972-05-05,-16
127,1972-05-06,-6
128,1972-05-07,-2
129,1972-05-08,3
130,1972-05-09,-15
131,1972-05-10,-1
132,1972-05-11,3
133,1972-05-12,-6
134,1972-05-13,-6
135,1972-05-14,-10
136,1972-05-15,-8
137,1972-05-16,-10
138,1972-05-17,-7
139,1972-05-18,-15
140,1972-05-19,-24
141,1972-05-20,-21
142,1972-05-21,-18
143,1972-05-22,-17
144,1972-05-23,-13
145,1972-05-24,-8
146,1972-05-25,-5
147,1972-05-26,-8
148,1972-05-27,-4
149,1972-05-28,-3
150,1972-05-29,-10
151,1972-05-30,-6
152,1972-05-31,-4
153,1972-06-01,-7
154,1972-06-02,4
155,1972-06-03,0
156,1972-06-04,-6
157,1972-06-05,-5
158,1972-06-06,-7
159,1972-06-07,-21
160,1972-06-08,-13
161,1972-06-09,-1
162,1972-06-10,3
163,1972-06-11,12
164,1972-06-12,-3
165,1972-06-13,4
166,1972-06-14,-7
167,1972-06-15,0
168,1972-06-16,-3
169,1972-06-17,-4
170,1972-06-18,-17
171,1972-06-19,-7
172,1972-06-20,-8
173,1972-06-21,-4
174,1972-06-22,-4
175,1972-06-23,-6
176,1972-06-24,-3
177,1972-06-25,-13
178,1972-06-26,-17
179,1972-06-27,-18
180,1972-06-28,-19
181,1972-06-29,5
182,1972-06-30,-17
183,1972-07-01,-13
184,1972-07-02,-10
185,1972-07-03,-7
186,1972-07-04,-16
187,1972-07-05,-18
188,1972-07-06,-25
189,1972-07-07,-26
190,1972-07-08,-23
191,1972-07-09,-6
192,1972-07-10,-7
193,1972-07-11,-8
194,1972-07-12,-6
195,1972-07-13,-8
196,1972-07-14,-15
197,1972-07-15,-8
198,1972-07-16,-26
199,1972-07-17,-24
200,1972-07-18,-26
201,1972-07-19,-34
202,1972-07-20,-13
203,1972-07-21,-17
204,1972-07-22,-35
205,1972-07-23,-25
206,1972-07-24,-16
207,1972-07-25,-16
208,1972-07-26,-17
209,1972-07-27,-11
210,1972-07-28,-12
211,1972-07-29,-3
212,1972-07-30,-10
213,1972-07-31,-2
214,1972-08-01,-14
215,1972-08-02,-12
216,1972-08-03,-9
217,1972-08-04,-12
218,1972-08-05,-4
219,1972-08-06,-3
220,1972-08-07,-5
221,1972-08-08,-1
222,1972-08-09,0
223,1972-08-10,8
224,1972-08-11,9
225,1972-08-12,-7
226,1972-08-13,-4
227,1972-08-14,1
228,1972-08-15,-8
229,1972-08-16,-3
230,1972-08-17,-9
231,1972-08-18,-9
232,1972-08-19,-15
233,1972-08-20,-7
234,1972-08-21,-11
235,1972-08-22,1
236,1972-08-23,-29
