-92,17
-91,20
-90,21
-89,19
-88,15
-87,15
-86,15
-85,17
-84,19
-83,22
-82,18
-81,19
-80,12
-79,17
-78,13
-77,16
-76,11
-75,18
-74,10
-73,15
-72,12
-71,9
-70,15
-69,8
-68,11
-67,8
-66,9
-65,15
-64,14
-63,9
-62,9
-61,12
-60,13
-59,9
-58,13
-57,13
-56,7
-55,13
-54,8
-53,13
-52,10
-51,12
-50,8
-49,15
-48,8
-47,7
-46,10
-45,12
-44,9
-43,12
-42,14
-41,12
-40,17
-39,17
-38,9
-37,15
-36,20
-35,16
-34,23
-33,25
-32,23
-31,28
-30,28
-29,43
-28,40
-27,40
-26,44
-25,50
-24,40
-23,54
-22,46
-21,48
-20,51
-19,53
-18,49
-17,49
-16,42
-15,54
-14,32
-13,42
-12,34
-11,26
-10,27
-9,31
-8,29
-7,27
-6,37
-5,26
-4,24
-3,29
-2,27
-1,21
0,13
1,30
2,32
3,21
4,26
5,26
6,35
7,32
8,47
9,32
10,40
11,37
12,52
13,38
14,71
15,49
16,46
17,35
18,63
19,55
20,53
21,54
22,49
23,67
24,45
25,46
26,55
27,65
28,58
29,41
30,53
31,42
32,46
33,44
34,46
35,47
36,46
37,40
38,40
39,23
40,38
41,35
42,40
43,38
44,24
45,27
46,23
47,30
48,27
49,29
50,22
51,20
52,14
53,16
54,6
55,12
56,10
57,15
58,11
59,14
60,8
61,3
62,4
63,4
64,4
65,4
66,4
67,2
68,1
69,3
70,3
71,3
74,2
75,1
76,1
79,1
80,1
83,1
84,1
85,1
