1,1972-01-01,3
2,1972-01-02,-17
3,1972-01-03,-7
4,1972-01-04,-1
5,1972-01-05,-8
6,1972-01-06,-2
7,1972-01-07,8
8,1972-01-08,2
9,1972-01-09,2
10,1972-01-10,-4
11,1972-01-11,-9
12,1972-01-12,11
13,1972-01-13,4
14,1972-01-14,1
15,1972-01-15,-4
16,1972-01-16,-5
17,1972-01-17,-14
18,1972-01-18,-15
19,1972-01-19,-14
20,1972-01-20,-14
21,1972-01-21,-11
22,1972-01-22,-11
23,1972-01-23,-9
24,1972-01-24,-14
25,1972-01-25,2
26,1972-01-26,-11
27,1972-01-27,-7
28,1972-01-28,1
29,1972-01-29,3
30,1972-01-30,-10
31,1972-01-31,-9
32,1972-02-01,-6
33,1972-02-02,1
34,1972-02-03,-16
35,1972-02-04,-13
36,1972-02-05,-10
37,1972-02-06,-19
38,1972-02-07,-23
39,1972-02-08,-3
40,1972-02-09,9
41,1972-02-10,-11
42,1972-02-11,5
43,1972-02-12,1
44,1972-02-13,-2
45,1972-02-14,5
46,1972-02-15,-5
47,1972-02-16,-10
48,1972-02-17,-7
49,1972-02-18,-10
50,1972-02-19,2
51,1972-02-20,1
52,1972-02-21,-8
53,1972-02-22,-13
54,1972-02-23,-13
55,1972-02-24,-8
56,1972-02-25,-2
57,1972-02-26,2
58,1972-02-27,14
59,1972-02-28,9
60,1972-02-29,7
61,1972-03-01,11
62,1972-03-02,2
63,1972-03-03,1
64,1972-03-04,0
65,1972-03-05,-3
66,1972-03-06,-5
67,1972-03-07,-17
68,1972-03-08,-17
69,1972-03-09,-8
70,1972-03-10,-3
71,1972-03-11,-2
72,1972-03-12,5
73,1972-03-13,2
74,1972-03-14,-3
75,1972-03-15,5
76,1972-03-16,0
77,1972-03-17,0
78,1972-03-18,15
79,1972-03-19,-12
80,1972-03-20,-4
81,1972-03-21,-5
82,1972-03-22,-6
83,1972-03-23,2
84,1972-03-24,9
85,1972-03-25,-7
86,1972-03-26,-12
87,1972-03-27,-1
88,1972-03-28,10
89,1972-03-29,3
90,1972-03-30,1
91,1972-03-31,-8
92,1972-04-01,-2
93,1972-04-02,-1
94,1972-04-03,3
95,1972-04-04,-9
96,1972-04-05,-9
97,1972-04-06,-8
98,1972-04-07,-14
99,1972-04-08,-10
100,1972-04-09,-7
101,1972-04-10,-16
102,1972-04-11,-20
103,1972-04-12,-5
104,1972-04-13,-3
105,1972-04-14,1
106,1972-04-15,-3
107,1972-04-16,-4
108,1972-04-17,4
109,1972-04-18,-2
110,1972-04-19,-9
111,1972-04-20,-6
112,1972-04-21,-12
113,1972-04-22,-1
114,1972-04-23,5
115,1972-04-24,-3
116,1972-04-25,-7
117,1972-04-26,-3
118,1972-04-27,-9
119,1972-04-28,-13
120,1972-04-29,-9
121,1972-04-30,-9
122,1972-05-01,-5
123,1972-05-02,-14
124,1972-05-03,-2
125,1972-05-04,-9
126,1972-05-05,-3
127,1972-05-06,13
128,1972-05-07,-7
129,1972-05-08,-5
130,1972-05-09,-15
131,1972-05-10,-8
132,1972-05-11,-1
133,1972-05-12,6
134,1972-05-13,5
135,1972-05-14,-3
136,1972-05-15,-1
137,1972-05-16,-4
138,1972-05-17,-1
139,1972-05-18,-8
140,1972-05-19,-11
141,1972-05-20,-11
142,1972-05-21,1
143,1972-05-22,3
144,1972-05-23,-10
145,1972-05-24,-2
146,1972-05-25,2
147,1972-05-26,10
148,1972-05-27,6
149,1972-05-28,4
150,1972-05-29,-9
151,1972-05-30,0
152,1972-05-31,-6
153,1972-06-01,-12
154,1972-06-02,8
155,1972-06-03,2
156,1972-06-04,0
157,1972-06-05,-1
158,1972-06-06,-3
159,1972-06-07,-18
160,1972-06-08,-3
161,1972-06-09,-2
162,1972-06-10,-4
163,1972-06-11,4
164,1972-06-12,-4
165,1972-06-13,12
166,1972-06-14,-8
167,1972-06-15,-5
168,1972-06-16,4
169,1972-06-17,4
170,1972-06-18,-5
171,1972-06-19,-3
172,1972-06-20,8
173,1972-06-21,3
174,1972-06-22,-1
175,1972-06-23,1
176,1972-06-24,-5
177,1972-06-25,-6
178,1972-06-26,1
179,1972-06-27,-13
180,1972-06-28,-9
181,1972-06-29,6
182,1972-06-30,-2
183,1972-07-01,-3
184,1972-07-02,1
185,1972-07-03,4
186,1972-07-04,-11
187,1972-07-05,-15
188,1972-07-06,-13
189,1972-07-07,-20
190,1972-07-08,-8
191,1972-07-09,0
192,1972-07-10,-1
193,1972-07-11,-8
194,1972-07-12,5
195,1972-07-13,0
196,1972-07-14,-12
197,1972-07-15,-4
198,1972-07-16,-14
199,1972-07-17,-10
200,1972-07-18,-26
201,1972-07-19,-15
202,1972-07-20,-9
203,1972-07-21,-7
204,1972-07-22,-17
205,1972-07-23,-12
206,1972-07-24,-11
207,1972-07-25,-11
208,1972-07-26,-10
209,1972-07-27,-4
210,1972-07-28,-5
211,1972-07-29,2
212,1972-07-30,-12
213,1972-07-31,4
214,1972-08-01,-3
215,1972-08-02,-10
216,1972-08-03,-1
217,1972-08-04,-5
218,1972-08-05,1
219,1972-08-06,-1
220,1972-08-07,8
221,1972-08-08,12
222,1972-08-09,12
223,1972-08-10,13
224,1972-08-11,10
225,1972-08-12,6
226,1972-08-13,6
227,1972-08-14,3
228,1972-08-15,1
229,1972-08-16,6
230,1972-08-17,0
231,1972-08-18,-1
232,1972-08-19,-11
233,1972-08-20,-5
234,1972-08-21,-7
235,1972-08-22,1
236,1972-08-23,-14
237,1972-08-24,-8
238,1972-08-25,-18
239,1972-08-26,-14
240,1972-08-27,-11
